path,module,source_set,classification,inferred_production_reachability,inferred_main_callers_or_consumers,inventory_status,historical_change_or_finding_reference,suggested_disposition
.github/dependabot.yml,repository,ci,dependency-automation-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,No historical change mapped; independent review not attested,"RETAIN in the current production, build, test, or release contract"
.github/workflows/production-promotion.yml,repository,ci,ci-workflow,CI-ONLY: production qualification workflow,GitHub Actions protected-branch production verification,MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 34dcca6f930bbe9f2222b1cbe3ca59b75b8202a9 (fix(release): repository-disable Store workflows (#232)); independent review not attested,"RETAIN in the current production, build, test, or release contract"
.github/workflows/production-verification.yml,repository,ci,ci-workflow,CI-ONLY: production qualification workflow,GitHub Actions protected-branch production verification,MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 033a56351c57fe382aa5d42ff0cb1ea94385d0da (fix(review): enforce inventory freshness); independent review not attested,"RETAIN in the current production, build, test, or release contract"
.github/workflows/testing-candidate.yml,repository,ci,ci-workflow,CI-ONLY: production qualification workflow,GitHub Actions protected-branch production verification,MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 34dcca6f930bbe9f2222b1cbe3ca59b75b8202a9 (fix(release): repository-disable Store workflows (#232)); independent review not attested,"RETAIN in the current production, build, test, or release contract"
.github/workflows/testing-external-promotion.yml,repository,ci,ci-workflow,CI-ONLY: production qualification workflow,GitHub Actions protected-branch production verification,MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Latest tracked change 34dcca6f930bbe9f2222b1cbe3ca59b75b8202a9 (fix(release): repository-disable Store workflows (#232)); independent review not attested,"RETAIN in the current production, build, test, or release contract"
.gitignore,repository,repository,repository-config,BUILD-TIME OR REPOSITORY-ONLY: not loaded by the app at runtime,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,Reviewed non-publishing Mobile Release Kit shadow configuration; Store identities remain blocked,"RETAIN in the current production, build, test, or release contract"
.run/Android App.run.xml,repository,repository,developer-run-config,DEVELOPMENT-ONLY: IDE convenience configuration,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,No historical change mapped; independent review not attested,RETAIN as developer-only tooling; excluded from shipping artifacts
.run/Build iOS Framework.run.xml,repository,repository,developer-run-config,DEVELOPMENT-ONLY: IDE convenience configuration,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,No historical change mapped; independent review not attested,RETAIN as developer-only tooling; excluded from shipping artifacts
.run/Compose Desktop.run.xml,repository,repository,developer-run-config,DEVELOPMENT-ONLY: IDE convenience configuration,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,No historical change mapped; independent review not attested,RETAIN as developer-only tooling; excluded from shipping artifacts
.run/iOS App.run.xml,repository,repository,developer-run-config,DEVELOPMENT-ONLY: IDE convenience configuration,"contributors, CI, release operators, or repository tooling",MECHANICALLY INVENTORIED; INDEPENDENT REVIEW NOT ATTESTED,No historical change mapped; independent review not attested,RETAIN as developer-only tooling; excluded from shipping artifacts
